Unnamed: 0,Drug1 ID,Interaction,Drug2 ID,Drug1_Name,Drug2_Name,Interaction_Level,Interaction_Type
6029,DB01233,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB04843,metoclopramide,mepenzolate,Moderate,Antagonism
6041,DB06589,the metabolism of (.*) can be increased when combined with (.*).,DB00197,pazopanib,troglitazone,Moderate,Antagonism
6064,DB00424,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB08897,hyoscyamine,aclidinium,Moderate,New Adverse
6158,DB00295,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB06684,morphine,vilazodone,Moderate,New Adverse
6244,DB00660,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01105,metaxalone,sibutramine,Moderate,New Adverse
6494,DB01172,the risk or severity of methemoglobinemia can be increased when (.*) is combined with (.*).,DB00281,kanamycin,lidocaine,Minor,Synergism
6635,DB01170,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01067,guanethidine,glipizide,Unknown,Synergism
6652,DB00747,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00327,scopolamine,hydromorphone,Unknown,Synergism
6669,DB00927,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB01274,famotidine,arformoterol,Moderate,Synergism
6768,DB00839,the protein binding of (.*) can be decreased when combined with (.*).,DB01032,tolazamide,probenecid,Moderate,Synergism
6805,DB01227,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,levacetylmethadol,miconazole,Unknown,Synergism
6848,DB00562,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00747,benzthiazide,scopolamine,Minor,Synergism
6878,DB00191,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB01365,phentermine,mephentermine,Moderate,Synergism
6904,DB00904,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB05294,ondansetron,vandetanib,Major,Synergism
6906,DB09082,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB06335,vilanterol,saxagliptin,Unknown,Synergism
7020,DB08907,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00559,canagliflozin,bosentan,Moderate,Synergism
7106,DB01067,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00819,glipizide,acetazolamide,Moderate,Synergism
7113,DB00424,(.*) may increase the anticholinergic activities of (.*).,DB00748,hyoscyamine,carbinoxamine,Moderate,Synergism
7231,DB01014,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00328,balsalazide,indomethacin,Unknown,Antagonism
7282,DB01067,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00903,glipizide,etacrynic acid,Unknown,Antagonism
7342,DB13620,the risk or severity of hyperkalemia can be increased when (.*) is combined with (.*).,DB00722,potassium gluconate,lisinopril,Unknown,Synergism
7526,DB00295,the risk or severity of orthostatic hypotension and syncope can be increased when (.*) is combined with (.*).,DB00476,morphine,duloxetine,Moderate,New Adverse
7567,DB00668,(.*) may increase the arrhythmogenic activities of (.*).,DB01159,epinephrine,halothane,Major,Synergism
7583,DB00333,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB11130,methadone,opium,Moderate,New Adverse
7696,DB00863,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00991,ranitidine,oxaprozin,Unknown,Synergism
7713,DB00959,the risk or severity of hyperglycemia can be increased when (.*) is combined with (.*).,DB06335,methylprednisolone,saxagliptin,Unknown,Synergism
7759,DB09104,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00404,magnesium hydroxide,alprazolam,Minor,Synergism
7981,DB01016,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00571,glyburide,propranolol,Moderate,Synergism
7987,DB00454,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00191,meperidine,phentermine,Unknown,Synergism
8035,DB08870,the serum concentration of (.*) can be increased when it is combined with (.*).,DB01261,brentuximab vedotin,sitagliptin,Moderate,Synergism
8066,DB09039,the metabolism of (.*) can be decreased when combined with (.*).,DB00773,eliglustat,etoposide,Unknown,Synergism
8093,DB01259,the metabolism of (.*) can be decreased when combined with (.*).,DB00736,lapatinib,esomeprazole,Unknown,Synergism
8113,DB00489,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB08907,sotalol,canagliflozin,Moderate,Synergism
8133,DB00412,the metabolism of (.*) can be increased when combined with (.*).,DB09280,rosiglitazone,lumacaftor,Moderate,Antagonism
8207,DB00731,(.*) may increase the hypoglycemic activities of (.*).,DB00795,nateglinide,sulfasalazine,Moderate,Synergism
8236,DB08938,the risk or severity of hypotension can be increased when (.*) is combined with (.*).,DB01136,magaldrate,carvedilol,Minor,Synergism
8281,DB00166,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB09564,lipoic acid,insulin degludec,Minor,Synergism
8381,DB01102,the risk or severity of tachycardia can be increased when (.*) is combined with (.*).,DB11315,arbutamine,methscopolamine,Unknown,Synergism
8399,DB00404,the serum concentration of (.*) can be increased when it is combined with (.*).,DB01211,alprazolam,clarithromycin,Moderate,Synergism
8415,DB01172,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01203,kanamycin,nadolol,Minor,Synergism
8432,DB01124,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB01246,tolbutamide,alimemazine,Moderate,Antagonism
8510,DB00687,the risk or severity of hyperglycemia can be increased when (.*) is combined with (.*).,DB06203,fludrocortisone,alogliptin,Unknown,Synergism
8519,DB00562,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB00046,benzthiazide,insulin lispro,Moderate,Synergism
8544,DB00731,the metabolism of (.*) can be decreased when combined with (.*).,DB00679,nateglinide,thioridazine,Moderate,Synergism
8735,DB01155,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB00258,gemifloxacin,calcium acetate,Moderate,Antagonism
8910,DB00719,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00782,azatadine,propantheline,Moderate,New Adverse
8937,DB00393,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00258,nimodipine,calcium acetate,Moderate,Antagonism
8940,DB12825,the metabolism of (.*) can be decreased when combined with (.*).,DB01016,lefamulin,glyburide,Moderate,Synergism
9033,DB00572,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01227,atropine,levacetylmethadol,Moderate,New Adverse
9037,DB00458,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,imipramine,miconazole,Moderate,Synergism
9041,DB01274,the risk or severity of hypertension can be increased when (.*) is combined with (.*).,DB01364,arformoterol,ephedrine,Moderate,Synergism
9220,DB04871,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01618,lorcaserin,molindone,Moderate,New Adverse
9227,DB00933,the metabolism of (.*) can be decreased when combined with (.*).,DB09291,mesoridazine,rolapitant,Moderate,Synergism
9250,DB01233,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB00193,metoclopramide,tramadol,Major,Synergism
9271,DB01278,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00977,pramlintide,ethinylestradiol,Moderate,Antagonism
9458,DB06292,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00706,dapagliflozin,tamsulosin,Moderate,Synergism
9473,DB00443,the metabolism of (.*) can be decreased when combined with (.*).,DB00270,betamethasone,isradipine,Moderate,Synergism
9481,DB00222,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00703,glimepiride,methazolamide,Moderate,Synergism
9601,DB01067,the protein binding of (.*) can be decreased when combined with (.*).,DB00939,glipizide,meclofenamic acid,Unknown,Synergism
9631,DB00867,the risk or severity of hypertension can be increased when (.*) is combined with (.*).,DB00937,ritodrine,diethylpropion,Unknown,Synergism
9731,DB00832,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB00470,phensuximide,dronabinol,Unknown,Synergism
9735,DB09564,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00304,insulin degludec,desogestrel,Moderate,Antagonism
9742,DB01081,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB01563,diphenoxylate,chloral hydrate,Moderate,New Adverse
9750,DB09272,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB01149,eluxadoline,nefazodone,Moderate,Synergism
9778,DB13928,(.*) may decrease the hypoglycemic activities of (.*).,DB01583,semaglutide,liotrix,Moderate,Antagonism
9828,DB04871,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB00450,lorcaserin,droperidol,Moderate,Synergism
9864,DB00749,(.*) may increase the hyperkalemic activities of (.*).,DB13620,etodolac,potassium gluconate,Unknown,Synergism
9904,DB00197,the metabolism of (.*) can be increased when combined with (.*).,DB00977,troglitazone,ethinylestradiol,Moderate,Antagonism
9921,DB09049,the serum concentration of (.*) can be increased when it is combined with (.*).,DB11986,naloxegol,entrectinib,Unknown,Synergism
9949,DB01162,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB09038,terazosin,empagliflozin,Moderate,New Adverse
10026,DB08826,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB08938,deferiprone,magaldrate,Moderate,Antagonism
10034,DB00782,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01192,propantheline,oxymorphone,Unknown,New Adverse
10071,DB00771,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00193,clidinium,tramadol,Moderate,New Adverse
10091,DB11986,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,entrectinib,miconazole,Moderate,Synergism
10126,DB00611,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00889,butorphanol,granisetron,Moderate,New Adverse
10128,DB00968,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00672,methyldopa,chlorpropamide,Minor,Synergism
10191,DB00244,the risk or severity of hypertension can be increased when (.*) is combined with (.*).,DB01028,mesalazine,methoxyflurane,Moderate,Synergism
10204,DB00333,the metabolism of (.*) can be decreased when combined with (.*).,DB00916,methadone,metronidazole,Minor,Synergism
10294,DB10316,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00635,mumps virus strain b level jeryl lynn live antigen,prednisone,Major,Antagonism
10324,DB00321,the metabolism of (.*) can be decreased when combined with (.*).,DB01233,amitriptyline,metoclopramide,Unknown,Synergism
10345,DB00982,the metabolism of (.*) can be increased when combined with (.*).,DB01234,isotretinoin,dexamethasone,Moderate,Antagonism
10359,DB00959,the risk or severity of hyperglycemia can be increased when (.*) is combined with (.*).,DB00731,methylprednisolone,nateglinide,Moderate,Synergism
10561,DB01261,the metabolism of (.*) can be decreased when combined with (.*).,DB01232,sitagliptin,saquinavir,Moderate,Synergism
10788,DB11348,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00808,calcium phosphate,indapamide,Moderate,Synergism
10828,DB08899,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01137,enzalutamide,levofloxacin,Moderate,Synergism
10859,DB00865,the serum concentration of (.*) can be increased when it is combined with (.*).,DB08938,benzphetamine,magaldrate,Unknown,Synergism
10872,DB00367,the metabolism of (.*) can be increased when combined with (.*).,DB09046,levonorgestrel,metreleptin,Moderate,Antagonism
10986,DB01164,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00562,calcium chloride,benzthiazide,Unknown,Synergism
11016,DB00912,the metabolism of (.*) can be increased when combined with (.*).,DB01201,repaglinide,rifapentine,Moderate,Antagonism
11193,DB08907,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB04871,canagliflozin,lorcaserin,Moderate,Synergism
11288,DB09532,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00771,secretin human,clidinium,Unknown,Antagonism
11374,DB00491,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB06663,miglitol,pasireotide,Unknown,Antagonism
11477,DB00254,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB00237,doxycycline,butabarbital,Moderate,Antagonism
11492,DB00284,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00903,acarbose,etacrynic acid,Moderate,Antagonism
11499,DB01016,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB01359,glyburide,penbutolol,Moderate,Synergism
11737,DB00215,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00501,citalopram,cimetidine,Major,Synergism
11771,DB01124,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB01232,tolbutamide,saquinavir,Unknown,Antagonism
11946,DB00370,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00916,mirtazapine,metronidazole,Minor,Synergism
11968,DB00368,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00331,norepinephrine,metformin,Moderate,Synergism
11987,DB00266,(.*) may increase the anticoagulant activities of (.*).,DB01017,dicoumarol,minocycline,Unknown,Synergism
11994,DB00780,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01233,phenelzine,metoclopramide,Moderate,New Adverse
12037,DB01014,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01050,balsalazide,ibuprofen,Unknown,New Adverse
12050,DB01132,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB06287,pioglitazone,temsirolimus,Moderate,Antagonism
12209,DB01016,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00206,glyburide,reserpine,Moderate,Synergism
