Unnamed: 0,Drug1 ID,Interaction,Drug2 ID,Drug1_Name,Drug2_Name,Interaction_Level,Interaction_Type,Adverse_Effect
631,DB01082,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00438,streptomycin,ceftazidime,Moderate,Synergism,Unknown
656,DB09135,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01014,ioxilan,balsalazide,Major,Synergism,Unknown
725,DB14006,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB00046,choline salicylate,insulin lispro,Moderate,Synergism,Unknown
839,DB01191,the metabolism of (.*) can be decreased when combined with (.*).,DB00788,dexfenfluramine,naproxen,Moderate,Synergism,Unknown
853,DB00678,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB06292,losartan,dapagliflozin,Moderate,Synergism,Unknown
869,DB00295,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB06716,morphine,fospropofol,Moderate,New Adverse,CNS depression
917,DB00801,the serum concentration of (.*) can be increased when it is combined with (.*).,DB08900,halazepam,teduglutide,Moderate,Synergism,Unknown
924,DB00620,the metabolism of (.*) can be increased when combined with (.*).,DB06372,triamcinolone,rilonacept,Moderate,Antagonism,Unknown
1104,DB01168,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB00574,procarbazine,fenfluramine,Major,Synergism,Unknown
1108,DB01017,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB14533,minocycline,zinc chloride,Moderate,Antagonism,Unknown
1122,DB00765,(.*) may increase the sedative activities of (.*).,DB11130,metyrosine,opium,Moderate,Synergism,Unknown
1193,DB00752,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB01307,tranylcypromine,insulin detemir,Moderate,Synergism,Unknown
1277,DB00266,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00583,dicoumarol,levocarnitine,Moderate,Synergism,Unknown
1278,DB00986,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00921,glycopyrronium,buprenorphine,Moderate,New Adverse,Adverse effects
1368,DB11943,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB09104,delafloxacin,magnesium hydroxide,Moderate,Antagonism,Unknown
1370,DB00577,the risk or severity of nephrotoxicity can be increased when (.*) is combined with (.*).,DB00994,valaciclovir,neomycin,Moderate,Synergism,Unknown
1439,DB00459,the risk or severity of pseudotumor cerebri can be increased when (.*) is combined with (.*).,DB01017,acitretin,minocycline,Major,Synergism,Unknown
1536,DB00203,the serum concentration of (.*) can be increased when it is combined with (.*).,DB01110,sildenafil,miconazole,Moderate,Synergism,Unknown
1644,DB00991,(.*) may increase the hyperkalemic activities of (.*).,DB11098,oxaprozin,potassium bicarbonate,Moderate,Synergism,Unknown
1652,DB00782,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01036,propantheline,tolterodine,Moderate,New Adverse,Adverse effects
1657,DB06637,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00501,dalfampridine,cimetidine,Moderate,Synergism,Unknown
1911,DB00275,(.*) may increase the hyperkalemic activities of (.*).,DB13620,olmesartan,potassium gluconate,Major,Synergism,Unknown
2007,DB06605,the metabolism of (.*) can be decreased when combined with (.*).,DB00673,apixaban,aprepitant,Moderate,Synergism,Unknown
2083,DB09104,the risk or severity of neuromuscular blockade can be increased when (.*) is combined with (.*).,DB09407,magnesium hydroxide,magnesium chloride,Moderate,New Adverse,Neuromuscular blockade
2121,DB00451,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00621,levothyroxine,oxandrolone,Moderate,Synergism,Unknown
2179,DB00912,(.*) may decrease the hypoglycemic activities of (.*).,DB01583,repaglinide,liotrix,Moderate,Antagonism,Unknown
2195,DB09564,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB04861,insulin degludec,nebivolol,Moderate,Synergism,Unknown
2225,DB00759,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB06724,tetracycline,calcium carbonate,Moderate,Antagonism,Unknown
2230,DB08907,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB04861,canagliflozin,nebivolol,Moderate,Synergism,Unknown
2233,DB08882,the risk or severity of angioedema can be increased when (.*) is combined with (.*).,DB00691,linagliptin,moexipril,Moderate,Synergism,Unknown
2375,DB00758,the metabolism of (.*) can be decreased when combined with (.*).,DB01211,clopidogrel,clarithromycin,Moderate,Synergism,Unknown
2515,DB00782,the risk or severity of hyperthermia and oligohydrosis can be increased when (.*) is combined with (.*).,DB00273,propantheline,topiramate,Major,New Adverse,"Oligohydrosis,Hyperthermia "
2529,DB00860,the metabolism of (.*) can be decreased when combined with (.*).,DB00622,prednisolone,nicardipine,Moderate,Synergism,Unknown
2559,DB00570,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,vinblastine,miconazole,Moderate,Synergism,Unknown
2648,DB01075,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00836,diphenhydramine,loperamide,Moderate,Synergism,Unknown
2838,DB01132,the metabolism of (.*) can be decreased when combined with (.*).,DB06595,pioglitazone,midostaurin,Moderate,Synergism,Unknown
3051,DB09291,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB06119,rolapitant,cenobamate,Moderate,Antagonism,Unknown
3072,DB00543,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00889,amoxapine,granisetron,Major,New Adverse,CNS depression
3115,DB09564,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB01611,insulin degludec,hydroxychloroquine,Moderate,Synergism,Unknown
3139,DB01010,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00443,edrophonium,betamethasone,Moderate,Antagonism,Unknown
3157,DB01240,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB08907,epoprostenol,canagliflozin,Moderate,New Adverse,Adverse effects
3183,DB06335,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01001,saxagliptin,salbutamol,Moderate,Synergism,Unknown
3287,DB06480,the serum concentration of (.*) can be increased when it is combined with (.*).,DB09034,prucalopride,suvorexant,Minor,Synergism,Unknown
3367,DB00945,the risk or severity of hyperkalemia can be increased when (.*) is combined with (.*).,DB01395,acetylsalicylic acid,drospirenone,Moderate,Synergism,Unknown
3384,DB00710,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB06723,ibandronate,aluminum hydroxide,Moderate,Antagonism,Unknown
3462,DB08882,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00983,linagliptin,formoterol,Moderate,Synergism,Unknown
3503,DB09039,the metabolism of (.*) can be decreased when combined with (.*).,DB00220,eliglustat,nelfinavir,Major,Synergism,Unknown
3555,DB00472,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB01307,fluoxetine,insulin detemir,Moderate,Synergism,Unknown
3579,DB00912,(.*) may increase the hypoglycemic activities of (.*).,DB00621,repaglinide,oxandrolone,Moderate,Synergism,Unknown
3601,DB00757,the metabolism of (.*) can be decreased when combined with (.*).,DB00976,dolasetron,telithromycin,Major,Synergism,Unknown
3634,DB01124,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00933,tolbutamide,mesoridazine,Moderate,Antagonism,Unknown
3889,DB01016,the metabolism of (.*) can be increased when combined with (.*).,DB00615,glyburide,rifabutin,Moderate,Antagonism,Unknown
4083,DB00047,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB06292,insulin glargine,dapagliflozin,Moderate,Synergism,Unknown
4514,DB09481,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB12147,magnesium carbonate,erdafitinib,Major,New Adverse,Adverse effects
4569,DB01016,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00508,glyburide,triflupromazine,Moderate,Antagonism,Unknown
4575,DB00657,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB06292,mecamylamine,dapagliflozin,Moderate,Synergism,Unknown
4586,DB11915,the metabolism of (.*) can be decreased when combined with (.*).,DB00757,valbenazine,dolasetron,Major,Synergism,Unknown
4642,DB01222,(.*) may increase the excretion rate of (.*) which could result in a lower serum level and potentially a reduction in efficacy.,DB00421,budesonide,spironolactone,Moderate,Antagonism,Unknown
4659,DB06626,the metabolism of (.*) can be decreased when combined with (.*).,DB00927,axitinib,famotidine,Minor,Synergism,Unknown
4667,DB00349,the risk or severity of respiratory depression can be increased when (.*) is combined with (.*).,DB11130,clobazam,opium,Moderate,Synergism,Unknown
4823,DB09020,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB01591,bisacodyl,solifenacin,Moderate,Antagonism,Unknown
4838,DB00912,the metabolism of (.*) can be decreased when combined with (.*).,DB01167,repaglinide,itraconazole,Moderate,Synergism,Unknown
4855,DB00912,the serum concentration of (.*) can be increased when it is combined with (.*).,DB15685,repaglinide,selpercatinib,Moderate,Synergism,Unknown
4885,DB00959,the bioavailability of (.*) can be decreased when combined with (.*).,DB01377,methylprednisolone,magnesium oxide,Minor,Antagonism,Unknown
4920,DB01166,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00757,cilostazol,dolasetron,Major,Synergism,Unknown
4923,DB00782,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01227,propantheline,levacetylmethadol,Moderate,New Adverse,Adverse effects
4934,DB00675,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00916,tamoxifen,metronidazole,Minor,Synergism,Unknown
4954,DB00889,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00176,granisetron,fluvoxamine,Major,New Adverse,Adverse effects
4956,DB01275,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB09038,hydralazine,empagliflozin,Moderate,New Adverse,Adverse effects
4963,DB00921,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB01105,buprenorphine,sibutramine,Moderate,Synergism,Unknown
4979,DB00537,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB09104,ciprofloxacin,magnesium hydroxide,Moderate,Antagonism,Unknown
5064,DB01016,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00373,glyburide,timolol,Moderate,Synergism,Unknown
5066,DB00604,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00877,cisapride,sirolimus,Moderate,Synergism,Unknown
5085,DB00346,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB00904,alfuzosin,ondansetron,Moderate,Synergism,Unknown
5091,DB00508,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00904,triflupromazine,ondansetron,Moderate,New Adverse,CNS depression
5223,DB00222,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00695,glimepiride,furosemide,Moderate,Antagonism,Unknown
5310,DB09038,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00668,empagliflozin,epinephrine,Moderate,Antagonism,Unknown
5316,DB00790,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB00047,perindopril,insulin glargine,Moderate,Synergism,Unknown
5318,DB00206,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB00486,reserpine,nabilone,Moderate,Synergism,Unknown
5420,DB00673,the metabolism of (.*) can be decreased when combined with (.*).,DB00582,aprepitant,voriconazole,Moderate,Synergism,Unknown
5486,DB00279,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00258,liothyronine,calcium acetate,Moderate,Antagonism,Unknown
5531,DB06335,the metabolism of (.*) can be decreased when combined with (.*).,DB00582,saxagliptin,voriconazole,Moderate,Synergism,Unknown
5532,DB00672,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00310,chlorpropamide,chlorthalidone,Moderate,Antagonism,Unknown
5556,DB00328,the risk or severity of nephrotoxicity can be increased when (.*) is combined with (.*).,DB01250,indomethacin,olsalazine,Moderate,Synergism,Unknown
5710,DB11853,the metabolism of (.*) can be increased when combined with (.*).,DB09046,relugolix,metreleptin,Minor,Antagonism,Unknown
5725,DB00726,the metabolism of (.*) can be decreased when combined with (.*).,DB11130,trimipramine,opium,Moderate,Synergism,Unknown
5785,DB00197,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00834,troglitazone,mifepristone,Moderate,Synergism,Unknown
5817,DB00572,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01036,atropine,tolterodine,Moderate,New Adverse,Adverse effects
5819,DB00927,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB04946,famotidine,iloperidone,Moderate,Synergism,Unknown
5901,DB00669,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB01191,sumatriptan,dexfenfluramine,Major,Synergism,Unknown
5904,DB00741,the serum concentration of (.*) can be decreased when it is combined with (.*).,DB08899,hydrocortisone,enzalutamide,Moderate,Antagonism,Unknown
5923,DB09049,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00196,naloxegol,fluconazole,Major,Synergism,Unknown
6029,DB01233,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB04843,metoclopramide,mepenzolate,Moderate,Antagonism,Unknown
6041,DB06589,the metabolism of (.*) can be increased when combined with (.*).,DB00197,pazopanib,troglitazone,Moderate,Antagonism,Unknown
6064,DB00424,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB08897,hyoscyamine,aclidinium,Moderate,New Adverse,Adverse effects
6158,DB00295,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB06684,morphine,vilazodone,Moderate,New Adverse,CNS depression
6244,DB00660,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01105,metaxalone,sibutramine,Moderate,New Adverse,Adverse effects
6494,DB01172,the risk or severity of methemoglobinemia can be increased when (.*) is combined with (.*).,DB00281,kanamycin,lidocaine,Minor,Synergism,Unknown
6635,DB01170,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01067,guanethidine,glipizide,Moderate,Synergism,Unknown
6652,DB00747,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00327,scopolamine,hydromorphone,Moderate,Synergism,Unknown
6669,DB00927,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB01274,famotidine,arformoterol,Moderate,Synergism,Unknown
6768,DB00839,the protein binding of (.*) can be decreased when combined with (.*).,DB01032,tolazamide,probenecid,Moderate,Synergism,Unknown
6805,DB01227,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,levacetylmethadol,miconazole,Moderate,Synergism,Unknown
6848,DB00562,the serum concentration of (.*) can be increased when it is combined with (.*).,DB00747,benzthiazide,scopolamine,Minor,Synergism,Unknown
6878,DB00191,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB01365,phentermine,mephentermine,Moderate,Synergism,Unknown
6904,DB00904,the risk or severity of qtc prolongation can be increased when (.*) is combined with (.*).,DB05294,ondansetron,vandetanib,Major,Synergism,Unknown
6906,DB09082,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB06335,vilanterol,saxagliptin,Moderate,Synergism,Unknown
7020,DB08907,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00559,canagliflozin,bosentan,Moderate,Synergism,Unknown
7106,DB01067,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00819,glipizide,acetazolamide,Moderate,Synergism,Unknown
7113,DB00424,(.*) may increase the anticholinergic activities of (.*).,DB00748,hyoscyamine,carbinoxamine,Moderate,Synergism,Unknown
7231,DB01014,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00328,balsalazide,indomethacin,Moderate,Antagonism,Unknown
7282,DB01067,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00903,glipizide,etacrynic acid,Moderate,Antagonism,Unknown
7342,DB13620,the risk or severity of hyperkalemia can be increased when (.*) is combined with (.*).,DB00722,potassium gluconate,lisinopril,Major,Synergism,Unknown
7526,DB00295,the risk or severity of orthostatic hypotension and syncope can be increased when (.*) is combined with (.*).,DB00476,morphine,duloxetine,Moderate,New Adverse,"Orthostatic hypotension ,Syncope"
7567,DB00668,(.*) may increase the arrhythmogenic activities of (.*).,DB01159,epinephrine,halothane,Major,Synergism,Unknown
7583,DB00333,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB11130,methadone,opium,Moderate,New Adverse,Adverse effects
7696,DB00863,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00991,ranitidine,oxaprozin,Minor,Synergism,Unknown
7713,DB00959,the risk or severity of hyperglycemia can be increased when (.*) is combined with (.*).,DB06335,methylprednisolone,saxagliptin,Moderate,Synergism,Unknown
7759,DB09104,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00404,magnesium hydroxide,alprazolam,Minor,Synergism,Unknown
7981,DB01016,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00571,glyburide,propranolol,Moderate,Synergism,Unknown
7987,DB00454,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00191,meperidine,phentermine,Moderate,Synergism,Unknown
8035,DB08870,the serum concentration of (.*) can be increased when it is combined with (.*).,DB01261,brentuximab vedotin,sitagliptin,Moderate,Synergism,Unknown
8066,DB09039,the metabolism of (.*) can be decreased when combined with (.*).,DB00773,eliglustat,etoposide,Moderate,Synergism,Unknown
8093,DB01259,the metabolism of (.*) can be decreased when combined with (.*).,DB00736,lapatinib,esomeprazole,Moderate,Synergism,Unknown
8113,DB00489,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB08907,sotalol,canagliflozin,Moderate,Synergism,Unknown
8133,DB00412,the metabolism of (.*) can be increased when combined with (.*).,DB09280,rosiglitazone,lumacaftor,Moderate,Antagonism,Unknown
8207,DB00731,(.*) may increase the hypoglycemic activities of (.*).,DB00795,nateglinide,sulfasalazine,Moderate,Synergism,Unknown
8236,DB08938,the risk or severity of hypotension can be increased when (.*) is combined with (.*).,DB01136,magaldrate,carvedilol,Minor,Synergism,Unknown
8281,DB00166,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB09564,lipoic acid,insulin degludec,Minor,Synergism,Unknown
8381,DB01102,the risk or severity of tachycardia can be increased when (.*) is combined with (.*).,DB11315,arbutamine,methscopolamine,Moderate,Synergism,Unknown
8399,DB00404,the serum concentration of (.*) can be increased when it is combined with (.*).,DB01211,alprazolam,clarithromycin,Moderate,Synergism,Unknown
8415,DB01172,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01203,kanamycin,nadolol,Minor,Synergism,Unknown
8432,DB01124,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB01246,tolbutamide,alimemazine,Moderate,Antagonism,Unknown
8510,DB00687,the risk or severity of hyperglycemia can be increased when (.*) is combined with (.*).,DB06203,fludrocortisone,alogliptin,Moderate,Synergism,Unknown
8519,DB00562,the risk or severity of hypoglycemia can be increased when (.*) is combined with (.*).,DB00046,benzthiazide,insulin lispro,Moderate,Synergism,Unknown
8544,DB00731,the metabolism of (.*) can be decreased when combined with (.*).,DB00679,nateglinide,thioridazine,Moderate,Synergism,Unknown
8735,DB01155,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB00258,gemifloxacin,calcium acetate,Moderate,Antagonism,Unknown
8910,DB00719,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB00782,azatadine,propantheline,Moderate,New Adverse,Adverse effects
8937,DB00393,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00258,nimodipine,calcium acetate,Moderate,Antagonism,Unknown
8940,DB12825,the metabolism of (.*) can be decreased when combined with (.*).,DB01016,lefamulin,glyburide,Moderate,Synergism,Unknown
9033,DB00572,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01227,atropine,levacetylmethadol,Moderate,New Adverse,Adverse effects
9037,DB00458,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,imipramine,miconazole,Moderate,Synergism,Unknown
9041,DB01274,the risk or severity of hypertension can be increased when (.*) is combined with (.*).,DB01364,arformoterol,ephedrine,Moderate,Synergism,Unknown
9220,DB04871,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01618,lorcaserin,molindone,Moderate,New Adverse,Adverse effects
9227,DB00933,the metabolism of (.*) can be decreased when combined with (.*).,DB09291,mesoridazine,rolapitant,Moderate,Synergism,Unknown
9250,DB01233,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB00193,metoclopramide,tramadol,Major,Synergism,Unknown
9271,DB01278,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00977,pramlintide,ethinylestradiol,Moderate,Antagonism,Unknown
9458,DB06292,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00706,dapagliflozin,tamsulosin,Moderate,Synergism,Unknown
9473,DB00443,the metabolism of (.*) can be decreased when combined with (.*).,DB00270,betamethasone,isradipine,Moderate,Synergism,Unknown
9481,DB00222,the therapeutic efficacy of (.*) can be increased when used in combination with (.*).,DB00703,glimepiride,methazolamide,Moderate,Synergism,Unknown
9601,DB01067,the protein binding of (.*) can be decreased when combined with (.*).,DB00939,glipizide,meclofenamic acid,Moderate,Synergism,Unknown
9631,DB00867,the risk or severity of hypertension can be increased when (.*) is combined with (.*).,DB00937,ritodrine,diethylpropion,Moderate,Synergism,Unknown
9731,DB00832,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB00470,phensuximide,dronabinol,Moderate,Synergism,Unknown
9735,DB09564,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00304,insulin degludec,desogestrel,Moderate,Antagonism,Unknown
9742,DB01081,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB01563,diphenoxylate,chloral hydrate,Moderate,New Adverse,CNS depression
9750,DB09272,the risk or severity of serotonin syndrome can be increased when (.*) is combined with (.*).,DB01149,eluxadoline,nefazodone,Moderate,Synergism,Unknown
9778,DB13928,(.*) may decrease the hypoglycemic activities of (.*).,DB01583,semaglutide,liotrix,Moderate,Antagonism,Unknown
9828,DB04871,(.*) may increase the central nervous system depressant \(cns depressant\) activities of (.*).,DB00450,lorcaserin,droperidol,Moderate,Synergism,Unknown
9864,DB00749,(.*) may increase the hyperkalemic activities of (.*).,DB13620,etodolac,potassium gluconate,Moderate,Synergism,Unknown
9904,DB00197,the metabolism of (.*) can be increased when combined with (.*).,DB00977,troglitazone,ethinylestradiol,Moderate,Antagonism,Unknown
9921,DB09049,the serum concentration of (.*) can be increased when it is combined with (.*).,DB11986,naloxegol,entrectinib,Minor,Synergism,Unknown
9949,DB01162,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB09038,terazosin,empagliflozin,Moderate,New Adverse,Adverse effects
10026,DB08826,(.*) can cause a decrease in the absorption of (.*) resulting in a reduced serum concentration and potentially a decrease in efficacy.,DB08938,deferiprone,magaldrate,Moderate,Antagonism,Unknown
10034,DB00782,the risk or severity of adverse effects can be increased when (.*) is combined with (.*).,DB01192,propantheline,oxymorphone,Moderate,New Adverse,Adverse effects
10071,DB00771,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00193,clidinium,tramadol,Moderate,New Adverse,CNS depression
10091,DB11986,the metabolism of (.*) can be decreased when combined with (.*).,DB01110,entrectinib,miconazole,Moderate,Synergism,Unknown
10126,DB00611,the risk or severity of cns depression can be increased when (.*) is combined with (.*).,DB00889,butorphanol,granisetron,Moderate,New Adverse,CNS depression
10128,DB00968,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00672,methyldopa,chlorpropamide,Minor,Synergism,Unknown
10191,DB00244,the risk or severity of hypertension can be increased when (.*) is combined with (.*).,DB01028,mesalazine,methoxyflurane,Moderate,Synergism,Unknown
10204,DB00333,the metabolism of (.*) can be decreased when combined with (.*).,DB00916,methadone,metronidazole,Minor,Synergism,Unknown
10294,DB10316,the therapeutic efficacy of (.*) can be decreased when used in combination with (.*).,DB00635,mumps virus strain b level jeryl lynn live antigen,prednisone,Major,Antagonism,Unknown
10324,DB00321,the metabolism of (.*) can be decreased when combined with (.*).,DB01233,amitriptyline,metoclopramide,Moderate,Synergism,Unknown
10345,DB00982,the metabolism of (.*) can be increased when combined with (.*).,DB01234,isotretinoin,dexamethasone,Moderate,Antagonism,Unknown
10359,DB00959,the risk or severity of hyperglycemia can be increased when (.*) is combined with (.*).,DB00731,methylprednisolone,nateglinide,Moderate,Synergism,Unknown
10561,DB01261,the metabolism of (.*) can be decreased when combined with (.*).,DB01232,sitagliptin,saquinavir,Moderate,Synergism,Unknown
10788,DB11348,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB00808,calcium phosphate,indapamide,Moderate,Synergism,Unknown
10828,DB08899,(.*) may decrease the excretion rate of (.*) which could result in a higher serum level.,DB01137,enzalutamide,levofloxacin,Moderate,Synergism,Unknown
10859,DB00865,the serum concentration of (.*) can be increased when it is combined with (.*).,DB08938,benzphetamine,magaldrate,Moderate,Synergism,Unknown
10872,DB00367,the metabolism of (.*) can be increased when combined with (.*).,DB09046,levonorgestrel,metreleptin,Moderate,Antagonism,Unknown
